population,trial,date,start_time,end_time,CTmax,SL,BW,condition
Kerimai,1,2025-08-13,11:16:00,12:17:00,31.34,98,13.7,-0.018352221453631048
Kerimai,1,2025-08-13,11:16:00,12:18:00,31.47,94,11.7,-0.055005889062165726
Ishikari,2,2025-08-13,12:55:00,13:57:00,31.62,71,5.1,-0.06953397054402394
Ishikari,2,2025-08-13,12:55:00,13:57:00,31.72,111,16.2,-0.21287291376596046
Kerimai,3,2025-08-13,14:27:00,15:23:00,30.33,145,45.4,0.04079803805833411
Kerimai,3,2025-08-13,14:27:00,15:24:00,30.75,113,20.9,-0.01005171669117529
Kerimai,3,2025-08-13,14:27:00,15:25:00,30.8,94,12.7,0.027007262598670548
Ishikari,4,2025-08-13,15:55:00,16:55:00,30.92,99,13.8,-0.04059503586269914
Ishikari,4,2025-08-13,15:55:00,16:55:00,31.1,84,8.5,-0.04752593300819729
Ishikari,4,2025-08-13,15:55:00,16:58:00,31.78,80,7.6,-0.017598203262026903
Kerimai,5,2025-08-13,17:27:00,18:29:00,31.19,116,17.3,-0.27527145822683147
Kerimai,5,2025-08-13,17:27:00,18:31:00,31.53,137,38.3,0.03573096840419805
Kerimai,5,2025-08-13,17:27:00,18:32:00,31.97,135,36.1,0.019328517530493812
Ishikari,6,2025-08-13,18:58:00,20:03:00,31.95,98,15.7,0.11791265806655746
Ishikari,6,2025-08-13,18:58:00,20:04:00,32.01,101,15.6,0.02386016709739594
Kerimai,7,2025-08-14,08:16:00,09:16:00,30.9,104,19.3,0.1515977651431994
Kerimai,7,2025-08-14,08:16:00,09:16:00,30.97,103,18,0.10995410499123537
Kerimai,7,2025-08-14,08:16:00,09:17:00,31.24,116,18.6,-0.20281637901140906
Ishikari,8,2025-08-14,09:42:00,10:42:00,31.26,116,27,0.1698589062737643
Ishikari,8,2025-08-14,09:42:00,10:43:00,31.53,78,6.6,-0.08507137533188229
Ishikari,8,2025-08-14,09:42:00,10:44:00,31.74,70,5.3,0.010170718623905778
Kerimai,9,2025-08-14,11:09:00,12:12:00,31.6,110,20.5,0.04885094628542353
Kerimai,9,2025-08-14,11:09:00,12:13:00,31.92,171,72.6,0.030757161529519135
Kerimai,9,2025-08-14,11:09:00,12:14:00,31.98,98,16.5,0.16761232661883005
